LK,LKNR,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,08.11.2021,09.11.2021,10.11.2021,11.11.2021,12.11.2021,13.11.2021,14.11.2021,15.11.2021,16.11.2021,17.11.2021,18.11.2021,19.11.2021,20.11.2021,21.11.2021,22.11.2021,23.11.2021,24.11.2021,25.11.2021,26.11.2021,27.11.2021,28.11.2021,29.11.2021,30.11.2021,01.12.2021,02.12.2021,03.12.2021,04.12.2021,05.12.2021,06.12.2021,07.12.2021,08.12.2021,09.12.2021,10.12.2021,11.12.2021,12.12.2021,13.12.2021,14.12.2021,15.12.2021,16.12.2021,17.12.2021,18.12.2021,19.12.2021,20.12.2021,21.12.2021,22.12.2021,23.12.2021,24.12.2021,25.12.2021,26.12.2021,27.12.2021,28.12.2021,29.12.2021,30.12.2021,31.12.2021,01.01.2022,02.01.2022,03.01.2022,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022,11.01.2022,12.01.2022,13.01.2022,14.01.2022,15.01.2022,16.01.2022,17.01.2022,18.01.2022,19.01.2022,20.01.2022,21.01.2022,22.01.2022,23.01.2022,24.01.2022,25.01.2022,26.01.2022,27.01.2022,28.01.2022,29.01.2022,30.01.2022,31.01.2022,01.02.2022,02.02.2022,03.02.2022,04.02.2022,05.02.2022,06.02.2022,07.02.2022,08.02.2022,09.02.2022,10.02.2022,11.02.2022,12.02.2022,13.02.2022,14.02.2022,15.02.2022,16.02.2022,17.02.2022,18.02.2022,19.02.2022,20.02.2022,21.02.2022,22.02.2022,23.02.2022,24.02.2022,25.02.2022,26.02.2022,27.02.2022,28.02.2022,01.03.2022,02.03.2022,03.03.2022,04.03.2022,05.03.2022,06.03.2022,07.03.2022,08.03.2022,09.03.2022,10.03.2022,11.03.2022,12.03.2022,13.03.2022,14.03.2022,15.03.2022,16.03.2022,17.03.2022,18.03.2022,19.03.2022,20.03.2022,21.03.2022,22.03.2022,23.03.2022,24.03.2022,25.03.2022,26.03.2022,27.03.2022,28.03.2022
LK Gießen,6531,85.4,89.1,89.1,83.9,89.1,87.6,78.4,68.8,64.0,64.0,61.1,62.2,56.0,53.7,56.0,54.1,54.1,44.9,39.8,43.8,40.9,40.5,43.4,43.4,37.9,44.2,43.4,41.2,40.5,39.4,39.4,35.0,37.2,35.0,37.2,35.0,38.7,38.3,36.8,48.6,56.3,64.0,69.9,75.8,75.8,76.6,88.0,99.0,104.9,104.9,90.9,89.8,107.9,125.2,119.6,123.3,131.0,104.9,103.8,125.9,123.7,119.6,126.3,124.0,129.6,128.5,121.8,135.1,141.7,147.2,144.3,120.7,118.9,132.9,156.8,167.9,157.9,168.6,191.8,191.4,215.7,203.2,207.6,215.0,226.0,217.9,210.9,188.5,186.6,177.1,169.0,164.9,160.1,156.4,145.4,160.9,152.8,169.3,159.0,159.8,158.3,156.8,170.8,164.5,155.3,156.4,133.3,127.4,114.1,128.1,138.0,145.0,153.1,159.0,159.0,145.4,157.5,170.4,171.5,198.0,218.7,219.0,293.7,329.4,386.5,463.1,457.2,474.5,456.4,509.4,524.2,608.5,804.7,914.0,913.3,871.3,1077.8,1131.9,1264.0,1307.1,1154.7,1114.6,993.5,1101.3,1609.0,1571.0,1602.7,1621.5,1629.2,1619.6,1821.0,1752.9,1459.9,1785.3,1779.4,1797.1,1766.5,1540.1,1490.1,1476.4,1387.4,1353.1,1286.9,1281.0,1196.3,1113.9,841.8,977.3,978.0,1130.1,1139.3,1103.2,1098.0,1190.4,1070.8,1057.5,1048.7,1070.4,972.1,963.3,1015.6,1102.1,1093.6,1043.9,1090.3,1259.3,1340.6,1397.3,1404.7,1462.1,1452.1,1467.6,1459.1,1385.2,1375.6,1381.5,1431.9,1333.2,1506.3
LK Gifhorn,3151,85.2,90.8,89.7,97.6,98.2,90.3,89.7,88.6,84.6,82.9,75.6,79.0,72.8,68.3,63.2,58.7,59.2,59.8,52.5,48.0,49.1,48.0,48.0,48.0,45.1,45.1,44.6,41.8,45.1,37.8,41.2,42.3,48.5,53.0,76.2,92.0,99.9,104.4,102.1,104.4,116.2,120.7,105.0,95.9,87.5,96.5,101.6,103.3,101.0,101.6,99.9,124.7,117.9,129.2,139.4,156.3,171.0,191.3,173.8,174.9,179.4,195.2,209.9,199.2,221.7,221.7,218.4,245.4,247.1,252.8,272.0,259.6,271.4,272.0,261.8,270.8,266.9,266.3,267.5,282.1,271.4,260.7,266.9,260.1,300.2,307.5,292.3,296.2,304.1,287.2,277.6,248.3,196.9,178.9,212.2,225.1,221.2,202.0,185.1,198.1,199.2,196.4,169.3,161.4,147.3,132.6,92.0,128.1,125.3,127.5,145.0,167.0,131.5,128.6,182.3,180.6,193.5,200.9,207.1,233.0,264.1,282.7,304.7,310.3,334.6,333.5,342.5,365.1,363.4,361.7,397.2,425.4,443.5,476.2,510.1,534.9,549.0,577.2,569.3,632.5,706.4,708.1,717.7,712.6,729.6,812.5,898.3,938.9,935.0,1133.6,1226.7,1266.2,1354.8,1355.3,1410.1,1507.1,1475.5,1410.6,1405.0,1326.0,1579.3,1519.0,1581.0,1557.3,1443.9,1419.1,1511.6,1472.1,1517.3,1551.1,1472.1,1438.3,1445.0,1499.2,1455.2,1468.2,1428.7,1479.5,1474.9,1463.1,1462.5,1455.8,1470.4,1558.5,1606.4,1622.8,1503.7,2132.9,2185.9,2253.6,2252.5,2295.9,2472.5,2430.8,2138.5,2209.6,2296.5,2265.5,2215.8
LK Goeppingen,8117,61.1,47.1,69.6,76.9,81.1,80.8,91.2,101.2,105.9,105.9,98.5,79.6,63.4,58.7,51.8,59.1,58.4,59.1,49.8,50.6,64.9,64.9,75.7,83.1,78.1,65.3,57.2,49.5,65.3,71.5,68.0,63.8,71.1,49.8,76.5,86.6,96.6,98.2,89.3,91.6,97.0,97.0,106.3,109.7,112.8,103.9,99.7,94.7,107.4,85.0,117.5,124.8,107.0,97.8,81.9,108.6,156.1,182.4,209.4,198.2,282.9,283.3,300.6,323.4,365.9,394.2,396.5,363.2,274.7,330.0,262.0,383.3,451.7,458.7,431.3,480.3,515.5,519.4,504.3,556.1,544.5,476.9,499.3,518.6,563.0,563.8,588.1,554.5,536.0,512.8,524.0,474.9,451.7,445.2,428.9,345.9,330.4,330.0,329.6,308.0,330.8,301.4,285.6,274.0,256.6,235.3,206.4,206.7,184.7,165.8,172.3,177.0,177.8,199.8,194.8,176.6,168.1,190.1,195.9,178.9,211.0,231.9,231.5,256.2,272.0,379.1,424.7,445.6,451.0,444.0,480.7,523.2,639.2,702.9,748.5,848.2,827.0,752.0,921.2,1089.0,1153.5,1170.9,1370.7,1462.6,1367.6,1467.7,1602.1,1665.1,1462.2,1505.1,1657.0,1416.3,1385.3,1390.0,1390.8,1429.8,1560.0,1636.5,1661.3,1747.8,1755.2,1599.0,1541.5,1545.7,1394.6,1262.1,1242.7,1224.2,1305.0,1235.8,1305.7,1315.4,1190.2,1261.7,1241.6,1175.9,1160.1,1322.7,1258.2,1199.5,1339.4,1543.8,1635.0,1552.7,1655.1,1651.6,1545.7,1422.1,1449.1,1448.3,1441.8,1524.1,1711.1,1703.8,1568.5,1638.5,1663.2,1457.6,1376.5
LK Goerlitz,14626,27.5,30.7,30.3,23.5,17.6,19.6,22.4,18.4,17.6,21.6,20.0,20.4,26.3,29.5,33.9,33.5,36.7,32.7,47.1,54.7,57.5,71.0,75.8,77.0,64.3,79.4,88.6,93.4,99.0,111.8,117.7,90.2,95.4,95.4,93.0,93.8,113.3,125.3,98.2,118.1,148.1,166.8,168.8,187.6,218.3,187.6,215.5,258.2,279.8,317.7,326.9,376.8,304.9,294.5,376.4,501.7,511.3,619.8,679.7,581.1,468.6,533.6,622.2,639.4,754.7,848.1,783.5,671.3,561.9,334.9,438.2,599.5,704.8,554.0,393.1,735.6,1295.1,1386.1,1502.6,1554.5,1284.3,1085.6,1040.9,1021.7,946.3,1084.4,1123.9,879.2,771.9,822.6,900.0,837.3,812.6,993.8,739.9,645.0,730.0,657.3,593.5,574.7,661.7,491.3,460.2,449.8,398.7,370.8,358.4,372.8,246.6,237.5,227.5,233.1,262.6,260.2,259.0,210.7,222.7,247.0,245.1,253.0,277.8,271.8,181.2,185.2,189.6,191.6,176.8,209.1,212.7,170.4,229.5,249.4,298.9,314.5,352.8,359.2,293.7,332.9,445.8,508.9,544.8,663.3,676.1,530.4,604.7,780.3,822.6,808.6,855.3,925.9,771.5,807.0,955.5,1048.9,1062.4,1015.3,1167.8,951.5,983.8,1062.8,1074.4,1008.1,1068.4,1072.0,979.4,927.1,1002.6,953.1,957.1,960.7,1025.7,876.4,805.8,997.0,929.1,926.3,959.1,924.3,730.0,869.3,1168.6,1111.1,1203.3,1282.3,1335.8,1166.6,1003.8,1059.6,1238.0,1422.8,1568.1,1609.6,1418.8,1392.1,1400.1,1489.5,1537.0,1589.7,1590.8
LK Goslar,3153,62.4,66.8,69.0,71.3,71.3,70.5,72.8,63.1,49.0,55.7,54.2,36.4,28.2,23.8,24.5,19.3,19.3,25.2,34.9,39.4,33.4,29.7,29.7,29.7,26.7,20.0,21.5,17.8,19.3,19.3,19.3,19.3,17.8,19.3,20.8,20.0,27.5,26.7,22.3,34.9,42.3,43.1,52.0,57.9,57.9,58.7,51.2,52.7,57.9,63.1,68.3,68.3,67.6,63.1,78.7,85.4,85.4,84.6,84.6,85.4,96.5,89.1,84.6,83.9,98.7,100.2,105.4,118.1,138.8,144.8,158.1,152.2,159.6,166.3,184.9,173.7,196.8,201.2,196.0,196.0,200.5,190.8,174.5,161.1,160.4,146.3,147.0,149.2,156.7,155.2,152.2,152.9,140.3,140.3,147.7,130.7,126.2,120.3,106.9,111.4,112.9,112.9,99.5,86.9,78.7,59.4,43.1,60.1,63.9,70.5,86.1,88.4,72.0,72.0,76.5,90.6,111.4,118.8,135.1,167.1,187.8,179.7,182.6,181.2,211.6,228.7,246.5,260.6,260.6,269.5,291.8,374.9,437.3,501.2,619.2,619.2,702.4,866.4,940.7,1060.2,1151.6,1076.6,1161.9,1184.2,1226.5,1356.5,1381.7,1565.1,1656.4,1689.1,1686.1,1701.0,1781.9,1768.5,1645.3,1489.4,1489.4,1513.9,1576.2,1480.5,1458.9,1472.3,1555.4,1555.4,1462.6,1452.2,1448.5,1409.2,1344.6,1280.0,1288.9,1319.3,1223.6,1180.5,1152.3,1216.9,1251.0,1259.9,1300.0,1355.7,1423.3,1507.9,1543.6,1585.1,1585.1,1603.0,1624.5,1744.0,1677.2,1767.8,1707.7,1741.1,1784.9,1792.3,1745.5,1868.0,1898.5,1885.1,1885.1
LK Gotha,16067,49.8,41.6,38.6,53.5,58.0,76.5,86.9,76.5,86.9,90.7,78.8,68.4,54.2,49.8,57.2,58.7,58.7,60.9,69.1,81.0,91.4,97.4,92.2,98.8,96.6,93.6,87.7,104.0,98.8,106.3,95.9,109.2,115.2,150.1,153.1,166.5,165.7,153.8,179.8,220.7,210.3,225.9,246.0,292.8,306.9,402.0,384.2,405.8,425.8,480.8,419.1,402.8,349.3,411.7,515.0,498.7,483.8,523.2,535.8,643.6,709.0,651.0,787.0,775.8,790.7,778.1,748.3,703.8,656.2,581.9,567.0,541.0,541.0,646.5,784.8,903.7,932.6,989.9,1049.3,1108.8,1149.6,1140.0,1253.7,1337.7,1378.5,1319.1,1258.1,1359.2,1418.7,1343.6,1407.5,1357.7,1379.3,1525.7,1258.1,992.1,876.2,786.2,742.4,737.9,589.3,613.8,706.7,671.1,607.2,536.6,466.7,471.9,400.6,393.9,422.1,432.5,433.3,442.9,440.7,422.9,418.4,359.7,319.6,316.6,314.4,317.3,309.1,263.1,234.8,187.3,169.4,149.4,135.3,198.4,196.2,211.8,241.5,249.0,253.4,266.0,237.8,290.6,283.9,309.1,321.0,371.6,391.6,401.3,376.8,437.7,471.9,547.0,541.0,592.3,608.6,642.8,798.1,835.3,850.9,856.8,843.5,804.1,784.0,787.0,818.2,831.6,816.0,792.9,904.4,908.9,913.3,986.2,994.3,1106.5,1131.1,1034.5,1004.0,970.5,1048.6,1153.4,1047.8,1011.4,1253.7,1298.3,1394.9,1540.5,1607.4,1753.1,1958.9,2050.3,2109.0,2114.3,1958.9,2039.9,1918.8,1877.2,1838.5,2055.5,2130.6,2309.7,2128.4,2139.5,2006.5
LK Goettingen,3159,63.3,53.4,52.5,44.8,42.6,36.7,34.9,29.9,25.6,28.1,30.6,31.8,34.0,33.0,36.1,40.1,39.8,35.5,33.7,33.3,31.2,29.9,30.6,30.6,34.6,38.0,34.3,35.5,34.0,33.3,33.3,32.1,31.2,36.4,38.9,38.6,41.7,41.7,45.1,46.9,48.2,49.1,45.7,49.7,50.3,44.8,50.9,55.0,59.3,64.8,58.7,67.3,71.3,67.0,74.7,80.0,84.6,83.7,84.6,96.6,103.7,99.4,114.2,115.8,134.9,140.5,149.4,156.2,165.2,161.2,168.3,154.4,151.9,146.3,187.1,218.3,248.5,237.1,264.3,277.9,283.4,238.0,210.6,198.2,210.9,230.3,234.0,249.8,240.8,256.6,261.5,277.2,219.2,194.5,242.4,260.6,267.1,228.8,216.4,227.2,221.1,201.9,166.4,152.8,163.3,136.8,89.2,134.3,125.3,121.3,137.4,130.9,113.0,86.4,149.1,156.5,166.1,171.0,196.7,187.4,231.9,249.8,242.7,247.6,248.8,269.5,262.4,272.9,271.4,268.9,293.3,280.0,297.3,298.5,277.6,297.0,326.6,344.9,382.2,367.7,398.0,431.9,472.4,463.1,452.6,481.3,498.0,494.9,513.1,495.5,528.9,553.6,582.0,576.1,581.7,588.5,571.8,546.8,533.5,522.7,532.0,536.6,461.6,452.6,579.5,688.5,783.0,965.7,1005.9,1131.5,1132.4,1083.1,1197.6,1095.1,1261.8,1236.2,1218.9,1207.8,1139.5,1019.5,1034.3,1210.3,1208.7,1230.3,1169.2,1242.1,1239.0,1145.4,1196.4,1353.2,1335.9,1364.6,1281.9,1248.5,1276.3,1259.0,1231.9,1205.0,1167.3
LK Grafschaft Bentheim,3456,65.3,66.0,71.8,73.2,71.1,69.6,62.4,55.8,52.2,47.9,46.4,45.7,39.2,44.2,48.6,47.9,47.9,47.1,37.7,58.7,53.7,48.6,54.4,56.6,58.7,64.5,49.3,47.1,49.3,50.8,50.8,49.3,43.5,43.5,42.8,51.5,45.7,46.4,46.4,54.4,54.4,59.5,53.7,59.5,58.0,58.0,60.9,71.1,69.6,68.2,69.6,71.8,72.5,71.8,69.6,73.2,86.3,89.2,90.7,90.7,93.6,105.2,123.3,136.3,145.0,161.7,166.1,192.2,232.8,226.3,266.9,300.2,298.1,303.1,294.4,303.9,332.1,309.7,300.2,306.0,301.0,305.3,288.6,297.3,285.0,282.1,276.3,274.1,277.0,269.1,262.5,266.9,220.5,199.4,266.2,254.5,255.3,239.3,232.1,221.2,229.9,230.6,224.8,217.6,189.3,150.1,121.1,129.1,124.7,109.5,123.3,147.9,115.3,115.3,166.8,166.8,196.5,221.9,250.9,290.8,359.0,373.5,374.9,372.0,364.8,393.1,401.8,427.9,446.7,465.6,504.7,554.8,601.2,672.3,772.3,761.5,815.9,828.9,794.8,862.3,802.1,718.7,757.1,810.8,786.1,1010.9,976.9,1080.6,1153.8,1240.8,1285.1,1562.8,1463.5,1625.2,1615.0,1596.9,1578.1,1596.2,1682.5,1642.6,1493.9,1491.8,1487.4,1491.8,1475.8,1229.2,1377.9,1332.9,1284.3,1306.1,1293.8,1469.3,1471.5,1642.6,2119.1,2600.6,2792.8,2883.4,2644.1,2710.8,2673.1,2388.8,2232.2,2241.6,2408.4,2495.4,2487.5,2383.0,2409.1,2498.4,2607.1,2454.1,2638.3,2676.0,2573.8,2750.7,2775.4,2919.0,2970.5
LK Greiz,16076,31.0,36.2,37.2,39.3,34.1,29.0,32.1,30.0,31.0,35.2,29.0,27.9,34.1,41.4,45.5,49.7,50.7,50.7,72.4,86.9,99.3,102.4,106.6,115.9,113.8,127.2,138.6,138.6,150.0,158.3,154.1,149.0,132.4,130.3,134.5,144.8,166.5,172.8,172.8,182.1,179.0,199.7,207.9,226.5,232.8,228.6,230.7,251.4,260.7,232.8,242.1,261.7,266.9,299.0,329.0,375.5,408.6,468.6,459.3,470.7,451.0,444.8,436.5,429.3,397.2,507.9,576.2,599.0,602.1,618.6,564.8,752.1,828.6,895.8,880.3,931.0,1029.3,1112.1,1109.0,1156.5,1150.3,1126.5,1102.7,992.1,875.2,880.3,755.2,673.4,672.4,640.3,698.3,728.3,701.4,762.4,801.7,825.5,807.9,648.6,794.5,831.7,776.9,638.3,566.9,456.2,593.8,661.0,642.4,759.3,747.9,720.0,662.1,551.4,447.9,429.3,324.8,346.5,407.6,450.0,455.2,460.3,419.0,653.8,586.5,529.6,455.2,425.2,354.8,233.8,94.1,145.9,140.7,154.1,176.9,200.7,215.2,216.2,204.8,219.3,234.8,228.6,224.5,167.6,259.7,257.6,279.3,363.1,437.6,485.2,618.6,691.0,644.5,631.0,572.1,535.9,528.6,520.3,468.6,465.5,461.4,530.7,541.0,567.9,519.3,542.1,563.8,630.0,533.8,525.5,582.4,761.4,701.4,720.0,635.2,624.8,651.7,609.3,592.8,648.6,632.1,749.0,870.0,944.5,1085.2,1071.7,1156.5,1254.8,1106.9,1282.7,1055.2,1427.6,1461.7,1411.0,1429.6,1493.8,1498.9,1457.6,1226.9,1594.1,1688.3
LK Groß-Gerau,6433,101.5,100.4,100.8,90.3,80.9,74.0,74.3,71.4,82.3,82.7,70.0,59.8,62.4,64.2,60.5,68.2,74.7,69.6,68.9,78.3,78.0,78.3,91.4,92.1,86.3,96.1,91.7,93.9,95.0,101.5,103.0,91.4,90.3,85.2,84.8,80.1,87.4,90.6,79.0,96.1,90.6,92.1,94.6,103.0,101.2,88.8,108.4,113.8,127.6,132.0,126.9,130.9,137.8,140.3,130.2,134.9,128.0,147.9,149.4,144.7,162.4,158.8,176.9,168.2,179.1,187.8,169.7,191.8,181.6,192.9,185.6,190.0,196.9,216.8,242.9,254.5,270.8,278.8,261.1,261.8,267.6,275.9,277.4,261.4,254.9,268.7,256.3,236.8,227.7,235.3,227.0,212.8,231.0,234.9,216.8,224.1,207.0,203.8,186.7,196.5,186.4,182.4,185.6,175.1,195.1,186.4,179.5,176.6,172.9,178.4,151.9,168.2,172.9,181.3,198.3,205.9,238.2,276.6,295.5,335.0,337.6,335.4,356.8,389.0,464.1,577.2,625.4,654.4,669.3,700.1,774.8,870.5,966.6,1033.3,980.0,984.0,1197.6,1263.9,1197.9,1180.9,1084.8,1067.1,1146.8,1260.3,1171.5,1083.4,1043.1,1071.4,1092.1,1143.6,1121.1,1175.8,1220.4,1192.9,1133.4,1169.3,1233.8,1178.0,1036.6,978.6,917.3,878.5,908.6,880.7,824.5,608.8,744.0,711.7,699.8,698.0,711.7,642.5,599.0,555.5,613.5,711.4,750.9,832.8,812.5,868.7,920.6,848.1,868.0,901.4,929.6,893.4,894.8,952.8,1026.4,1059.8,1060.2,1074.3,1196.1,960.1,1071.0,1059.8,1062.3,1120.3,1161.7
LK Guenzburg,9774,104.4,102.9,104.4,98.9,70.7,58.9,55.0,43.2,60.5,63.6,59.7,57.3,43.2,69.9,58.9,62.0,64.4,60.5,44.8,44.0,45.5,47.9,53.4,53.4,51.8,33.0,50.3,66.7,66.7,80.9,90.3,95.8,97.4,106.0,115.4,120.9,136.6,153.9,158.6,139.8,144.5,164.9,174.3,216.0,228.5,244.2,230.9,212.8,166.5,112.3,235.6,235.6,225.4,201.8,168.1,177.5,230.1,259.9,303.1,425.6,460.2,420.9,468.0,358.9,504.2,490.8,431.9,534.8,621.9,654.1,508.9,657.3,642.4,598.4,687.1,691.1,707.5,658.9,704.4,711.5,699.7,647.1,621.2,642.4,600.7,584.3,633.7,596.0,538.7,486.1,472.0,442.1,470.4,475.9,436.6,446.8,376.9,406.8,376.2,407.6,407.6,375.4,309.4,292.9,299.2,252.9,250.5,242.7,183.8,173.5,174.3,197.1,173.5,212.0,210.5,187.7,192.4,194.0,227.7,234.8,258.4,298.4,300.0,336.1,361.2,440.5,456.3,522.2,542.6,498.7,501.8,567.8,610.2,708.3,794.7,868.5,950.2,907.0,1012.2,1043.6,1010.7,1034.2,1082.9,1151.2,1324.0,1554.9,1417.4,1515.6,1739.4,1876.8,2007.2,2096.7,2040.2,1993.8,1887.8,2075.5,2141.5,2235.7,2052.0,2015.0,1927.9,1896.5,1862.7,1915.3,1842.3,1677.4,1669.5,1667.2,1633.4,1670.3,1687.6,1568.2,1332.6,1329.5,1270.6,1256.5,1331.8,1472.4,1345.2,1243.9,1489.7,1501.5,1514.8,1675.8,1781.0,1701.7,1500.7,1514.8,1541.5,1371.9,1365.6,1417.4,1729.2,1636.5,1821.9,1851.7,1686.8,1735.5,1775.5
LK Guetersloh,5754,92.1,92.9,97.3,92.6,90.7,72.4,72.6,73.2,72.4,73.7,66.9,59.2,63.0,61.4,57.8,56.5,56.7,53.5,51.0,59.5,58.9,54.8,60.0,60.6,53.5,59.8,59.2,61.1,62.8,68.8,71.8,65.2,67.2,75.4,66.9,71.0,68.5,71.0,62.5,69.9,74.8,78.4,82.8,87.4,89.9,86.1,84.7,109.1,115.9,119.8,136.2,140.9,138.4,121.4,138.2,160.1,154.9,184.2,193.2,200.4,235.7,247.0,257.1,245.1,261.5,265.9,256.6,248.6,262.0,293.0,318.0,315.0,350.6,335.8,328.1,335.0,353.3,353.9,342.6,351.7,359.9,345.4,347.0,356.1,358.5,339.6,361.8,355.5,337.2,353.3,335.2,364.6,342.1,362.4,363.2,349.5,322.1,352.8,326.7,328.1,334.4,315.0,292.7,293.0,267.5,269.4,223.9,228.3,226.1,220.1,204.5,213.5,218.7,220.9,236.8,226.7,247.2,270.0,294.7,330.6,399.7,417.5,386.8,376.6,415.0,435.3,492.8,513.4,566.0,558.6,537.5,552.9,629.1,700.6,688.0,736.0,887.6,875.8,959.9,1081.6,1185.0,1185.0,1278.2,1434.4,1423.4,1484.6,1420.4,1570.6,1578.3,1610.7,1627.9,1492.3,1475.8,1457.4,1522.1,1465.1,1622.5,1714.3,1613.4,1523.2,1493.3,1495.3,1416.0,1502.4,1505.7,1454.1,1449.2,1491.7,1460.2,1398.5,1414.7,1366.7,1297.4,1294.6,1350.5,1285.6,1262.8,1299.3,1387.3,1308.3,1444.8,1483.8,1594.8,1503.8,1591.5,1678.4,1638.4,1694.3,1711.8,1777.6,1549.3,1669.1,1912.5,1807.5,1864.2,1894.4,1871.9,1752.7,1763.3
LK Hameln-Pyrmont,3252,76.1,74.0,78.1,76.7,80.1,74.0,71.3,66.0,59.9,68.0,63.3,57.2,53.8,57.2,55.9,46.4,57.9,55.9,61.2,63.9,63.3,55.2,43.7,44.4,43.7,32.3,33.7,35.7,35.0,37.7,37.0,37.7,34.3,39.0,29.6,28.9,25.6,31.0,32.3,39.0,41.7,40.4,42.4,44.4,45.8,43.1,49.8,53.2,51.8,54.5,49.1,48.5,47.8,61.2,65.3,76.7,77.4,86.1,87.5,66.6,76.7,70.0,71.3,78.1,86.1,102.3,97.6,116.4,134.6,142.7,152.1,145.4,160.2,142.7,172.3,168.9,168.9,164.2,163.5,168.3,160.9,152.8,168.9,191.1,198.5,203.3,195.2,187.1,211.3,222.8,210.0,202.6,173.0,169.6,193.8,185.8,164.2,160.9,146.0,142.0,141.3,140.7,136.0,131.9,129.9,105.7,86.1,109.7,109.7,111.7,116.4,113.1,91.5,80.8,109.0,112.4,122.5,130.6,131.9,143.4,174.3,190.5,176.3,226.8,257.8,283.3,289.4,301.5,356.7,363.4,437.5,520.3,533.7,502.8,522.3,662.3,726.2,659.6,593.6,726.2,1006.2,1076.9,955.0,1065.4,1282.1,1447.7,1526.5,1447.0,1460.5,1565.5,1533.2,1665.1,1651.0,1618.0,1624.0,1557.4,1642.2,1494.1,1462.5,1431.6,1431.6,1386.5,1391.2,1288.9,1410.7,1440.3,1439.6,1467.9,1510.3,1435.6,1457.8,1451.1,1459.1,1428.2,1441.0,1431.6,1317.8,1484.7,1543.9,1548.7,1633.5,1698.1,1789.6,1793.6,1775.5,1856.2,1861.6,1943.1,2071.6,2108.0,2149.7,2174.6,2161.8,2303.1,2278.9,2167.9,2110.0,1846.1,1935.0
LK Harburg,3353,81.6,81.2,81.2,82.8,96.5,95.7,85.9,89.1,78.5,78.1,75.4,57.8,53.5,52.3,47.3,45.7,45.7,44.9,42.6,41.4,43.7,44.1,44.5,43.7,44.9,41.8,39.1,39.1,34.8,37.9,37.9,37.5,44.5,50.0,48.0,51.6,54.3,55.5,55.9,63.7,68.4,71.5,62.5,77.3,76.6,76.9,68.7,71.5,77.7,77.3,80.9,82.0,83.6,92.6,96.1,94.9,95.3,97.3,101.9,101.2,98.4,100.4,106.2,114.4,118.4,116.4,113.3,120.7,126.2,127.7,119.1,128.9,134.4,137.9,139.8,142.2,146.1,162.5,165.6,166.0,168.0,184.8,194.5,205.5,200.8,202.7,197.6,192.2,191.0,190.2,186.7,180.8,148.0,141.8,177.7,172.6,171.9,162.1,166.4,173.0,175.0,173.4,172.3,170.3,174.2,148.0,112.5,151.9,163.3,193.7,223.8,260.9,234.8,223.0,334.7,330.1,389.8,473.8,497.2,526.9,550.7,606.6,636.3,587.1,517.2,598.8,666.8,672.2,753.9,776.5,900.7,977.3,1009.3,1115.9,1215.5,1194.8,1318.7,1273.4,1117.5,1287.0,1290.5,1328.0,1279.6,1141.3,1249.9,1439.0,1535.5,1397.2,1299.5,1222.6,1445.6,1415.5,1288.6,1139.4,1175.7,1241.3,1109.7,1016.7,969.5,1027.7,996.4,939.8,882.8,882.0,880.8,849.6,819.1,834.3,855.0,865.6,856.6,842.9,890.2,883.5,876.9,867.9,934.3,911.7,932.8,943.7,992.9,1059.3,1147.2,1196.4,1220.6,1244.5,1302.3,1396.4,1434.3,1459.7,1479.6,1545.2,1564.7,1640.9,1710.0,1553.8,1529.6,1460.1,1600.3
